Artist,Song,Year,Song Year,Header
Stevie Wonder,"Signed, Sealed, Delivered I'm Yours",1970,"Signed, Sealed, Delivered I'm Yours (1970)",Band/Artist from Song
Elton John,Your Song,1970,Your Song (1970),Band/Artist from Song
Johnny Cash,Ring of Fire,1963,Ring of Fire (1963),Band/Artist from Song
David Bowie, Changes,1971, Changes (1971),Band/Artist from Song
Aerosmith,Dream On,1973,Dream On (1973),Band/Artist from Song
Marvin Gaye,Sexual Healing,1982,Sexual Healing (1982),Band/Artist from Song
Ann Peebles,I Can't Stand the Rain,1973,I Can't Stand the Rain (1973),Band/Artist from Song
James Brown,Sex Machine,1970,Sex Machine (1970),Band/Artist from Song
Patsy Cline,Crazy,1961,Crazy (1961),Band/Artist from Song
PJ Harvey,Rid of Me,1993,Rid of Me (1993),Band/Artist from Song
Rolling Stones,Wild Horses,1971,Wild Horses (1971),Band/Artist from Song
Geto Boys,Mind Playing Tricks on Me,1991,Mind Playing Tricks on Me (1991),Band/Artist from Song
Bobby Gentry, Ode to Billie Joe,1967, Ode to Billie Joe (1967),Band/Artist from Song
N.W.A.,Fuck tha Police,1988,Fuck tha Police (1988),Band/Artist from Song
David Bowie, Space Oddity,1969, Space Oddity (1969),Band/Artist from Song
Jimi Hendrix, Little Wing,1967, Little Wing (1967),Band/Artist from Song
Bob Dylan,Subterranean Homesick Blues,1965,Subterranean Homesick Blues (1965),Band/Artist from Song
Staple Singers,I'll Take You There,1972,I'll Take You There (1972),Band/Artist from Song
Michael Jackson, Beat It,1982, Beat It (1982),Band/Artist from Song
Sinead O'Connor,Nothing Compares 2 U,1990,Nothing Compares 2 U (1990),Band/Artist from Song
Stevie Wonder,You Are the Sunshine of My Life,1972,You Are the Sunshine of My Life (1972),Band/Artist from Song
Simon & Garfunkel,The Sounds of Silence,1964,The Sounds of Silence (1964),Band/Artist from Song
The Byrds, Eight Miles High,1966, Eight Miles High (1966),Band/Artist from Song
Lou Reed,Walk on the Wild Side,1972,Walk on the Wild Side (1972),Band/Artist from Song
Pink Floyd,Comfortably Numb,1979,Comfortably Numb (1979),Band/Artist from Song
Billie Eilish, Bad Guy,2019, Bad Guy (2019),Band/Artist from Song
Van Halen,Jump,1983,Jump (1983),Band/Artist from Song
The Kinks, You Really Got Me,1964, You Really Got Me (1964),Band/Artist from Song
Flamingos,I Only Have Eyes for You,1959,I Only Have Eyes for You (1959),Band/Artist from Song
R.E.M.,Radio Free Europe,1983,Radio Free Europe (1983),Band/Artist from Song
Television,Marquee Moon,1977,Marquee Moon (1977),Band/Artist from Song
Nina Simone,Mississippi Goddam,1964,Mississippi Goddam (1964),Band/Artist from Song
Louis Armstrong,What a Wonderful World,1967,What a Wonderful World (1967),Band/Artist from Song
Five Satins,In the Still of the Nite,1956,In the Still of the Nite (1956),Band/Artist from Song
Tom Petty,American Girl,1976,American Girl (1976),Band/Artist from Song
Dusty Springfield,Son of a Preacher Man,1968,Son of a Preacher Man (1968),Band/Artist from Song
Eminem,Lose Yourself,2002,Lose Yourself (2002),Band/Artist from Song
Mott the Hoople,All the Young Dudes,1972,All the Young Dudes (1972),Band/Artist from Song
Hank Williams,I'm So Lonesome I Could Cry,1949,I'm So Lonesome I Could Cry (1949),Band/Artist from Song
Bob Dylan, Mr. Tambourine Man,1965, Mr. Tambourine Man (1965),Band/Artist from Song
Fleetwood Mac,Landslide,1975,Landslide (1975),Band/Artist from Song
Nick Drake,Pink Moon,1972,Pink Moon (1972),Band/Artist from Song
Madonna, Into the Groove,1985, Into the Groove (1985),Band/Artist from Song
